danceability,energy,loudness,speechiness,instrumentalness,valence,tempo,acousticness,track_name,artist
0.561,0.965,-3.673,0.0343,7.07e-06,0.304,128.04,0.00383,I'm Good (Blue),David Guetta
0.704,0.797,-5.927,0.0475,0.000745,0.825,139.994,0.0826,I Ain't Worried,OneRepublic
0.838,0.525,-3.562,0.0665,1.92e-06,0.884,144.981,0.345,Made You Look,Meghan Trainor
0.514,0.73,-5.934,0.0598,9.54e-05,0.334,171.005,0.00146,Blinding Lights,The Weeknd
0.548,0.816,-4.209,0.0465,0.0,0.557,95.39,0.122,Watermelon Sugar,Harry Styles
0.788,0.859,-2.724,0.0856,0.0,0.822,141.02,0.281,Shivers,Ed Sheeran
0.667,0.75,-4.602,0.0906,0.000198,0.486,126.041,0.0746,Hold Me Closer,Elton John
0.836,0.743,-6.305,0.0656,0.0,0.722,108.966,0.0995,About Damn Time,Lizzo
0.737,0.846,-4.51,0.22,0.0,0.546,87.981,0.00614,THATS WHAT I WANT,Lil Nas X
0.912,0.774,-4.673,0.0455,0.0127,0.632,119.966,0.121,Numb,Marshmello
0.762,0.766,-3.955,0.0343,6.98e-05,0.442,130.001,0.00776,Pepas,Farruko
0.677,0.696,-6.181,0.119,0.0,0.464,90.03,0.321,Peaches (feat. Daniel Caesar & Giveon),Justin Bieber
0.746,0.765,-4.41,0.0993,0.0,0.737,114.044,0.0112,Dynamite,BTS
0.72,0.715,-4.652,0.04,0.0568,0.357,107.041,0.258,Music For a Sushi Restaurant,Harry Styles
0.756,0.697,-6.377,0.0401,0.0,0.956,94.996,0.182,Bam Bam (feat. Ed Sheeran),Camila Cabello
0.588,0.701,-6.39,0.0402,0.0,0.443,104.988,0.00813,My Universe,Coldplay
0.721,0.769,-4.111,0.105,0.0,0.915,155.932,0.0922,2 Be Loved (Am I Ready),Lizzo
0.601,0.713,-3.758,0.0449,0.0,0.464,122.872,0.0282,Crazy What Love Can Do,David Guetta
0.856,0.609,-7.223,0.0824,8.15e-05,0.928,114.988,0.00801,Uptown Funk (feat. Bruno Mars),Mark Ronson
0.593,0.503,-6.725,0.22,0.0,0.71,178.781,0.293,MONTERO (Call Me By Your Name),Lil Nas X
0.723,0.772,-6.784,0.0792,1.15e-05,0.58,102.004,0.00524,Betty (Get Money),Yung Gravy
0.697,0.875,-4.621,0.034,0.0,0.774,140.069,0.137,Sunshine,OneRepublic
